,Product_id,Selling_Price
0,SCHE4YSTDVPVZVXW,3219.771952550235
1,ACCEGCATKHNRXUHW,1971.0040990769412
2,NKCE6GJ5XVJDXNNZ,11757.101443566
3,NKCEB8BK3ZXDHDHM,9494.971445170022
4,TOPEFDXSAHRNPF94,5628.339460980393
5,ACCE558KZHEPZYMG,9418.49919111407
6,ACCEAZCVAMFHDPY7,5185.836919784034
7,NKCDYNY37JPBGBVM,2615.198804257805
8,NKCEY8KWY33FCUYD,7675.678091852842
9,RNGE4YPTQYRECV9J,4606.402288527512
10,NKCE88AHBHJZREXH,3809.345682825137
11,CLTEJ5ZZGBP4JGGE,8024.81108366034
12,WATE3NWH5FZWAMDA,8084.023349730002
13,CAGE53FSFZVFPFHQ,1458.1838868536672
14,PCSEAKVBFFPGCHNZ,3815.1724629900987
15,WATDFFH3KJYBTYGG,7113.457971610001
16,NKCDWHFQSCHHYZMP,2731.9070630207657
17,RNGEB2PG3Q5RKDW6,2712.2827498917377
18,NKCE5UY9HHPZGGUZ,4275.644173864221
19,KTAEHETW3ZCMFMJR,3826.942789430634
20,BRAEBBYRVF9MHJHU,6922.440522969996
21,NKCEAX7HAQ2RJA3Q,10228.967892544477
22,CRTECN2RQZWBSP9W,4997.683926029377
23,WATDEWZ9UHSEHGZG,9288.467356760484
24,PTPEYW8HNV6G9YYR,2829.874877687752
25,ACCEAMGZRRYVAHDC,4991.402914802726
26,SRTEHHXG8MUXTGPA,5999.488847230254
27,SKIE4S4NN4MHYM3Z,5143.36149737454
28,HMBE7G34YHWPWKYN,7118.694130460022
29,LLIEGTMFJBD7ZZZM,13927.432730590002
30,ACCEJGH6JVTM4CBH,837.7820167464624
31,ACCDQDYBXJ9HZF37,10071.630089518805
32,RNGE88FRGZCXNKUG,697.2063795807271
33,NKCE7M3QNNPZDXHQ,9992.162836382147
34,VLBEGFFDP9H6WG2T,3558.423644379042
35,TOPEAFG4YEQSH5TT,2448.5690401058764
36,WATEYAP3K2QQQWDH,5177.727303512248
37,PCSEBDFUFJWGARNX,10761.391204626838
38,SWTEGXQFZY95SKG7,4849.892159233431
39,BRAEGJFXSM9ZQ6SK,6951.230409062855
40,CAGE6FYKP34GA4GF,7674.074577567504
41,HMBEJCMH78VJF3M8,4277.511637516101
42,HIFEB7J3GSTVN5XJ,10746.73810248667
43,PBXE6ZHNGZREWWHR,4714.779821339575
44,PCSEAKVBNXFGZBKB,6795.419769595618
45,BRAEBBMQQNZ9RZWR,5841.567394495704
46,ACCEGKFCXHZZH44S,806.0533449127565
47,SHODXQRRGKZ74U9M,4327.954785791617
48,DREE2Y6DVEKVVQQS,4487.490326413804
49,PBXE8ZHHG5Y525BT,6787.231003050584
50,CTTEH9FXZHGFKUA3,7930.562459760603
51,ACCDXFZXGQTBTM6N,3551.242846478708
52,NKCE9PFF3TT4KSQJ,7966.436293445001
53,BRAE6NZAZK77HXZK,925.9627144300491
54,NKCE4TV42BHDP63U,3433.3658221859428
55,AIREDGGD9RJPZGYW,5580.873915945235
56,PCSEDAPMHR2HNHWP,8280.362246815032
57,PACE95FMAFXHZB5C,4513.2374216552635
58,WATDG4KP445AV5XC,13562.313179220004
59,ACCE9EYRRNZYZUBG,754.4386108638543
60,ACCE8XZMAHNC8JVS,618.9128717914654
61,SHOED5DCSTQKZCGF,3638.681255834079
62,NKCE64Z4NGBHNAY7,3530.206150341168
63,PBXE8WQTZ5GA2YYQ,897.1552840105301
64,MUGEGZUMGYAPVSZH,4555.004487332896
65,PBXE4RB3Y3GXWPFV,712.8782334636832
66,PCSE2ZFDJJGFNHC7,686.1708542894095
67,CRTECN2QT5HKHZ8F,4817.080701205496
68,MUGEACY8Q7ZYSTN8,1504.2536895556193
69,ACCEGG9VGRMQGHRD,7360.529603871106
70,PCSE76X48PVSDDVK,1108.9401071035716
71,PBXE6677X2D6UFZZ,5716.9136545775455
72,WCKEGGGD2TXHHTJC,299.7110028322501
73,NKCE7MMGF4PPGNA6,3308.3321446666628
74,CRTECN2QYTPHK5YQ,5004.295753112162
75,OIDEJFCWMMR6JQBE,5650.204428090055
76,WATE5HFY4MJX6CHD,5209.4016349502435
77,DREE4FC4TAR8M5GN,1362.8424329579998
78,HACEGPF9DZVUZBFY,8016.494903696413
79,PBXE4Q7YF5KUYJYW,11627.547712349997
80,SHIED9YEH65NSA8N,10367.978529153164
81,WATDHMQJ68MVBRFV,13900.469506680003
82,HMBEGWTFEV4TF2RH,3267.5017284973233
83,SHIE2FH7YTVDHFGT,3180.615819397067
84,CRTECN2QYRY2KWZF,4429.177685624987
85,TSHEDJXPN4HNT2UP,6066.129176430184
86,SHOECZH5WGBZHZES,3060.8363227576697
87,NKCEDCT9MSAYG6H5,5474.007578879332
88,SOCEGGVYBTZPKXVP,4619.148626353111
89,PBXECARAQBCDSAZW,3588.3738641000027
90,CAGDU85YDHP9ZJH7,2418.2696235561975
91,TCVEHSMFEGNCAGYN,5025.103147706242
92,RNGEDAPFZ2GKRUER,834.7708572014761
93,CAGDY9Q7HSNDHGFC,3718.343104329333
94,NKCECKHYZVHBQU9F,478.5908094026707
95,NKCDQSVCRH8W73GF,6734.718316260944
96,WATD9H76RKGUUZHY,14428.790472569997
97,NKCE5HYVDQVATMKF,1987.2456301250857
98,RNGE9GWMKVHGEYZG,4235.986930954773
99,SHOEAGUMMWFABHUT,3345.1544012272702
100,SWDEGZMPYQGNEBHG,5035.529415492826
101,TOPEFDXSHZPHCUAU,9180.876022373144
102,CAGDU85Y85GDJGUD,1153.3316783368336
103,CAGE4BQXK3FSTRRS,3304.0742850192382
104,CAGDZVGTV3SMMMBY,5077.261206243371
105,BEOEGXRVQPCKJHYC,3540.4324630930187
106,NKCE9YFBBYBM88DR,3240.2051278904732
107,DREECZGZVWGQM23M,3431.2126415935995
108,PBXECYF3YHWYG4UN,351.3437913408098
109,WATEBG8FGBPUPKCV,4622.026087048582
110,SHIEEJG9RRDUH9XG,3325.7609113995964
111,CRTECN2QXAPEWXSF,2694.4795710242265
112,BRAEE6YMSYPNCUX3,1304.4709997614168
113,WATE9MVXJXHZHEJU,3309.9759828284787
114,RNGDREYRQQGZAPQM,5696.651284679708
115,CTPEGGFSNDQFAAVE,3387.0975635114264
116,NKCEF2RFAPHSHZZZ,3932.1319731150948
117,TOPDYAZZG5NU7ZBZ,7120.397942075831
118,PBXE7QPWMSS5XGPZ,245.13725001750018
119,PCSECV3FHFAQ9T36,12031.771656995554
120,CRNEJB4NBT9BTM84,5079.6587072669345
121,TSHEHU5RFJCTJKBV,6844.859885009404
122,DREECZJC3XBKGDZT,5486.420083949733
123,SUDEGGATGYXA9YBC,12426.934893965998
